id,host_id,accommodates,bedrooms,beds,number_of_reviews,calculated_host_listings_count,availability_30,minimum_nights,bathrooms,Apartment,Bed & Breakfast,Boat,Boutique hotel,Bungalow,Cabin,Camper/RV,Chalet,Condominium,Dorm,Guesthouse,Hostel,House,Hut,Loft,Other,Serviced apartment,Townhouse,Villa,Yurt,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,20-29,40-49,50-59,60-69,70-79,80-84,85-89,90-94,95-100,price,price_log
6606330,33889727,0.04045756385990482,-0.5881829844269288,-0.6179389634753749,-0.45860123772121353,-0.20870895318193736,-0.052818126042711855,0.1439718920600972,-0.3512794539149947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,145,4.976733742420574
1551034,8261153,0.7461834898371901,0.6147300302684826,2.115887114447718,0.6458712053666812,-0.20870895318193736,0.8712999163335441,-0.2319169100774512,2.4311320622433796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,300,5.703782474656201
2117111,4398501,0.04045756385990482,0.6147300302684826,0.06551755600539821,-0.5414366709528057,-0.20870895318193736,1.564388448115736,-0.1066206426982684,-0.3512794539149947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,179,5.187385805840755
17312436,116828085,0.7461834898371901,0.6147300302684826,0.06551755600539821,-0.5138248598756082,-0.20870895318193736,0.4092408951454161,-0.1066206426982684,-0.3512794539149947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205,5.3230099791384085
5317273,25685776,1.4519094158144754,1.817643044963894,2.115887114447718,-0.5414366709528057,-0.20870895318193736,-0.5148771472308398,0.26926815943928,-0.3512794539149947,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,175,5.1647859739235145
76459,400896,-0.6652683621173804,-0.5881829844269288,0.06551755600539821,-0.26531856018083194,-0.08745162287489171,1.333358937521672,0.1439718920600972,-0.3512794539149947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,110,4.700480365792417
9424352,48858241,0.7461834898371901,0.6147300302684826,0.06551755600539821,-0.29293037125802934,-0.20870895318193736,-0.5148771472308398,0.018675624680914396,-0.3512794539149947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,120,4.787491742782046
931801,5020505,-0.6652683621173804,-0.5881829844269288,-0.6179389634753749,2.606309791847694,-0.20870895318193736,-0.5148771472308398,-0.2319169100774512,-0.3512794539149947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,130,4.867534450455582
14987811,94469220,-0.6652683621173804,-0.5881829844269288,-0.6179389634753749,-0.5138248598756082,-0.20870895318193736,-0.5148771472308398,-0.1066206426982684,-0.3512794539149947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,100,4.605170185988092
6110143,31704687,-0.6652683621173804,-0.5881829844269288,-0.6179389634753749,-0.3205421823352267,-0.20870895318193736,0.4092408951454161,0.018675624680914396,-0.3512794539149947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,99,4.59511985013459
